127.0.0.1 - - [04/Oct/2017:08:53:28 +0900] "GET / HTTP/1.1" 404 951
192.168.0.101 - - [04/Oct/2017:08:54:03 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:08:54:04 +0900] "GET /favicon.ico HTTP/1.1" 404 973
192.168.0.101 - - [04/Oct/2017:08:55:59 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:08:56:09 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:08:56:58 +0900] "GET /Capston/AndroidServlet?command=android_join HTTP/1.1" 200 4
192.168.0.101 - - [04/Oct/2017:08:57:28 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:08:58:33 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:09:00:28 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:09:00:45 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:09:00:49 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:09:00:52 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:09:03:06 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 -
192.168.0.101 - - [04/Oct/2017:09:03:16 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 3
192.168.0.101 - - [04/Oct/2017:09:03:42 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 3
192.168.0.101 - - [04/Oct/2017:09:04:13 +0900] "GET /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 4
192.168.0.101 - - [04/Oct/2017:09:11:25 +0900] "POST /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 3
192.168.0.101 - - [04/Oct/2017:09:11:28 +0900] "POST /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 4
192.168.0.101 - - [04/Oct/2017:09:11:31 +0900] "POST /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 3
192.168.0.101 - - [04/Oct/2017:09:11:34 +0900] "POST /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 4
192.168.0.101 - - [04/Oct/2017:09:11:35 +0900] "POST /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 3
192.168.0.101 - - [04/Oct/2017:09:12:01 +0900] "POST /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 3
192.168.0.101 - - [04/Oct/2017:09:12:06 +0900] "POST /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 4
192.168.0.101 - - [04/Oct/2017:09:12:10 +0900] "POST /Capston/AndroidServlet?command=android_login HTTP/1.1" 200 3
