127.0.0.1 - - [12/Nov/2017:22:57:39 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Nov/2017:22:57:40 +0900] "GET /practice/main.html HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:00:36 +0900] "GET /practice/main.html HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:00:46 +0900] "GET /practice/main.html HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:01:14 +0900] "GET /practice/main.html HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:03:25 +0900] "GET /practice/main.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:03:44 +0900] "GET /practice/main.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:04:47 +0900] "GET /practice/main.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:05:04 +0900] "GET /practice/main.html HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:06:32 +0900] "GET /practice/main.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:07:02 +0900] "GET /practice/main.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:07:16 +0900] "GET /practice/main.html HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:08:23 +0900] "GET /practice/main.html HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:08:43 +0900] "GET /practice/main.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:08:53 +0900] "GET /practice/main.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:09:29 +0900] "GET /practice/main.html HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:10:01 +0900] "GET /practice/main.html HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:10:24 +0900] "GET /practice/main.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:10:56 +0900] "GET /practice/main.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [12/Nov/2017:23:11:15 +0900] "GET /practice/main.html HTTP/1.1" 200 497
